Country Name,Country Code,Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Djibouti,DJI,"International tourism, expenditures (current US$)",16300000.00,17300000.00,17100000.00,15900000.00,11600000.00,14800000.00,12900000.00,7700000.00,9900000.00,14000000.00,14400000.00,15000000.00,14200000.00,15500000.00,17500000.00,20500000.00,33500000.00,29600000.00,30900000.00
Dominica,DMA,"International tourism, expenditures (current US$)",6000000.00,7000000.00,7000000.00,8000000.00,9000000.00,9000000.00,9000000.00,9000000.00,9000000.00,9000000.00,10000000.00,10000000.00,11000000.00,11000000.00,13000000.00,13000000.00,12000000.00,12000000.00,13000000.00
Denmark,DNK,"International tourism, expenditures (current US$)",4288000000.00,4140000000.00,4194000000.00,4577000000.00,4899000000.00,4669000000.00,4861000000.00,5838000000.00,6659000000.00,7279000000.00,6850000000.00,7486000000.00,8830000000.00,9698000000.00,8968000000.00,9082000000.00,9840000000.00,9600000000.00,10131000000.00
Dominican Republic,DOM,"International tourism, expenditures (current US$)",267000000.00,313000000.00,339000000.00,380000000.00,391000000.00,440000000.00,425000000.00,429000000.00,408000000.00,448000000.00,511000000.00,495000000.00,531000000.00,532000000.00,523000000.00,662000000.00,689000000.00,690000000.00,712000000.00
Algeria,DZA,"International tourism, expenditures (current US$)",186000000.00,188000000.00,144000000.00,269000000.00,251000000.00,193000000.00,194000000.00,248000000.00,255000000.00,341000000.00,660000000.00,414000000.00,502000000.00,613000000.00,575000000.00,677000000.00,571000000.00,565000000.00,482000000.00
East Asia & Pacific (developing only),EAP,"International tourism, expenditures (current US$)",14552507785.49,16658430279.02,21349159642.08,19241180223.20,21787580942.41,25930342692.66,28041086672.45,32086915031.85,30925531778.99,38134492127.33,43706944970.71,49971389405.43,58907881570.40,70980018807.74,73393760179.88,92851769080.77,115030327423.37,149831578388.75,182073717803.43
East Asia & Pacific (all income levels),EAS,"International tourism, expenditures (current US$)",103222672929.00,108662499454.92,108666882219.72,94448433047.11,106100285571.46,114628506451.39,110224559036.41,118601934867.90,119023903285.60,149870610552.91,162638935328.53,165532725591.48,186619477687.66,204898089418.45,191581135934.39,232824132243.29,269121561441.06,311527062412.92,340064566048.60
Europe & Central Asia (developing only),ECA,"International tourism, expenditures (current US$)",3189422033.81,3857850523.90,4708528237.73,5063625719.32,4523309418.78,5352705452.10,6120080742.76,6946323179.01,7999852826.72,11560894761.44,13757541318.74,15336387497.40,19385990357.82,22753431856.69,20317494167.66,21379839389.28,24133315272.41,24991875020.98,28016480463.14
Europe & Central Asia (all income levels),ECS,"International tourism, expenditures (current US$)",236205900245.95,243482726799.94,232522317666.63,244720367818.44,250686438992.95,251395299014.70,251451525871.95,271222294552.07,321085259243.73,367653125581.08,395590252300.10,416177415792.83,479749469025.21,526401933290.19,453877620362.69,460310366053.05,508321282582.22,502476205707.67,546179859046.32
Ecuador,ECU,"International tourism, expenditures (current US$)",331000000.00,313000000.00,331000000.00,325000000.00,385000000.00,416000000.00,465000000.00,507000000.00,500000000.00,577000000.00,644000000.00,706000000.00,733000000.00,790000000.00,806000000.00,863000000.00,917000000.00,944000000.00,987000000.00
"Egypt, Arab Rep.",EGY,"International tourism, expenditures (current US$)",1371000000.00,1382000000.00,1431000000.00,1271000000.00,1218000000.00,1206000000.00,1248000000.00,1309000000.00,1465000000.00,1543000000.00,1932000000.00,2156000000.00,2886000000.00,3390000000.00,2941000000.00,2696000000.00,2575000000.00,3037000000.00,3466000000.00
Euro area,EMU,"International tourism, expenditures (current US$)",155282000000.00,158764000000.00,145930000000.00,153084000000.00,158174000000.00,156255000000.00,156152000000.00,165661000000.00,199234000000.00,221251000000.00,238002000000.00,247331000000.00,284129000000.00,317651000000.00,283113000000.00,276982000000.00,302649000000.00,283388000000.00,304704000000.00
Spain,ESP,"International tourism, expenditures (current US$)",5826000000.00,6332000000.00,6163000000.00,7119000000.00,7803000000.00,7710000000.00,8466000000.00,9366000000.00,11330000000.00,14864000000.00,18441000000.00,20348000000.00,24355000000.00,27157000000.00,22787000000.00,22733000000.00,23209000000.00,21101000000.00,22565000000.00
Estonia,EST,"International tourism, expenditures (current US$)",121000000.00,141000000.00,162000000.00,197000000.00,255000000.00,253000000.00,253000000.00,305000000.00,404000000.00,486000000.00,530000000.00,706000000.00,804000000.00,939000000.00,696000000.00,723000000.00,939000000.00,959000000.00,1170000000.00
Ethiopia,ETH,"International tourism, expenditures (current US$)",30000000.00,30000000.00,48000000.00,51000000.00,57000000.00,80000000.00,50000000.00,55000000.00,63000000.00,59000000.00,77000000.00,97000000.00,107000000.00,156000000.00,139000000.00,143000000.00,170000000.00,181000000.00,
European Union,EUU,"International tourism, expenditures (current US$)",207619000000.00,215191920000.00,204233000000.00,217396000000.00,226410000000.00,225152000000.00,224195000000.00,240611000000.00,284806000000.00,322438000000.00,344160000000.00,361351000000.00,414068000000.00,451890000000.00,386067000000.00,382644000000.00,415670000000.00,397549000000.00,424254000000.00
Finland,FIN,"International tourism, expenditures (current US$)",2853000000.00,2760000000.00,2541000000.00,2565000000.00,2525000000.00,2293000000.00,2442000000.00,2438000000.00,2954000000.00,3383000000.00,3622000000.00,4099000000.00,4812000000.00,5579000000.00,5226000000.00,5267000000.00,6009000000.00,5839000000.00,6357000000.00
Fiji,FJI,"International tourism, expenditures (current US$)",82000000.00,88000000.00,87000000.00,67000000.00,82000000.00,96000000.00,84000000.00,79000000.00,88000000.00,118000000.00,132000000.00,113000000.00,106000000.00,111000000.00,107000000.00,102000000.00,116000000.00,111000000.00,110000000.00
France,FRA,"International tourism, expenditures (current US$)",20699000000.00,22049000000.00,17490000000.00,18819000000.00,22795000000.00,26703000000.00,26749000000.00,27808000000.00,32618000000.00,36029000000.00,38813000000.00,39331000000.00,46029000000.00,50021000000.00,45806000000.00,46157000000.00,53914000000.00,50022000000.00,53157000000.00
"Micronesia, Fed. Sts.",FSM,"International tourism, expenditures (current US$)",,,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,6000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,26000000.00,28000000.00,27000000.00,30000000.00,29000000.00
Gabon,GAB,"International tourism, expenditures (current US$)",182000000.00,168000000.00,156000000.00,158000000.00,195000000.00,183000000.00,256000000.00,234000000.00,239000000.00,275000000.00,346000000.00,,,,,,,,
United Kingdom,GBR,"International tourism, expenditures (current US$)",30749000000.00,32297920000.00,35954000000.00,41458000000.00,45536000000.00,47009000000.00,46410000000.00,51125000000.00,58627000000.00,69076000000.00,72993000000.00,77674000000.00,86747000000.00,83584000000.00,61133000000.00,61368000000.00,64627000000.00,66004000000.00,68094000000.00
Georgia,GEO,"International tourism, expenditures (current US$)",,,171000000.00,239000000.00,135000000.00,129000000.00,136000000.00,189000000.00,170000000.00,196000000.00,237000000.00,257000000.00,277000000.00,337000000.00,311000000.00,329000000.00,384000000.00,471000000.00,537000000.00
Ghana,GHA,"International tourism, expenditures (current US$)",74000000.00,59000000.00,61000000.00,145000000.00,151000000.00,162000000.00,165000000.00,184000000.00,216000000.00,270000000.00,472000000.00,575000000.00,816000000.00,870000000.00,948000000.00,882000000.00,1026000000.00,979000000.00,982000000.00
Guinea,GIN,"International tourism, expenditures (current US$)",29000000.00,37000000.00,39000000.00,34000000.00,29000000.00,13000000.00,26000000.00,38000000.00,36000000.00,29000000.00,38000000.00,41000000.00,96000000.00,30000000.00,28000000.00,17000000.00,49000000.00,41000000.00,61000000.00
Greece,GRC,"International tourism, expenditures (current US$)",1495000000.00,1396000000.00,1537000000.00,1756000000.00,4014000000.00,4564000000.00,4189000000.00,2453000000.00,2439000000.00,2880000000.00,3045000000.00,3004000000.00,3430000000.00,3946000000.00,3401000000.00,2874000000.00,3197000000.00,2392000000.00,2486000000.00
Grenada,GRD,"International tourism, expenditures (current US$)",5000000.00,5000000.00,6000000.00,6000000.00,7000000.00,8000000.00,8000000.00,8000000.00,8000000.00,9000000.00,10000000.00,16000000.00,16000000.00,11000000.00,10000000.00,10000000.00,10000000.00,11000000.00,11000000.00
Guatemala,GTM,"International tourism, expenditures (current US$)",167000000.00,163000000.00,146000000.00,190000000.00,216000000.00,216000000.00,266000000.00,329000000.00,373000000.00,488000000.00,532000000.00,655000000.00,737000000.00,740000000.00,862000000.00,1002000000.00,935000000.00,920000000.00,950000000.00
Guyana,GUY,"International tourism, expenditures (current US$)",21000000.00,65000000.00,69000000.00,69000000.00,82000000.00,77000000.00,62000000.00,44000000.00,30000000.00,30000000.00,40000000.00,49000000.00,58000000.00,52000000.00,52000000.00,73000000.00,79000000.00,82000000.00,81000000.00
High income,HIC,"International tourism, expenditures (current US$)",419971214616.70,437548773541.36,427595710156.66,434400717607.42,455174183609.45,471270591295.10,458107961689.02,475182604225.66,525808671954.84,610909674109.25,663751522122.85,699186352167.13,796877191624.57,856011225990.75,747988734685.33,793852338603.90,866697768921.15,890318603334.91,934114428109.44
"Hong Kong SAR, China",HKG,"International tourism, expenditures (current US$)",10497000000.00,11461000000.00,12678000000.00,13474000000.00,13134000000.00,12502000000.00,12317000000.00,12418000000.00,11447000000.00,13270000000.00,13305000000.00,14044000000.00,15042000000.00,16095000000.00,15547000000.00,17357000000.00,19022000000.00,20077000000.00,21215000000.00
Honduras,HND,"International tourism, expenditures (current US$)",99000000.00,110000000.00,115000000.00,142000000.00,166000000.00,198000000.00,205000000.00,221000000.00,274000000.00,300000000.00,321000000.00,425000000.00,309000000.00,385000000.00,361000000.00,406000000.00,446000000.00,473000000.00,504000000.00
Heavily indebted poor countries (HIPC),HPC,"International tourism, expenditures (current US$)",2532753794.50,2833767506.01,2858093189.20,3156321994.05,3231742016.78,3241835890.02,3251441497.11,3608313904.82,4071977209.31,4723558052.95,5880299453.64,7508164178.75,8504542346.68,9031762236.04,8537841801.51,8881550232.92,9980896831.58,9870887301.35,10121648676.60
Croatia,HRV,"International tourism, expenditures (current US$)",422000000.00,510000000.00,530000000.00,600000000.00,806000000.00,634000000.00,677000000.00,852000000.00,709000000.00,881000000.00,786000000.00,770000000.00,1025000000.00,1156000000.00,1041000000.00,859000000.00,919000000.00,962000000.00,922000000.00
Haiti,HTI,"International tourism, expenditures (current US$)",35000000.00,37000000.00,35000000.00,,,173000000.00,168000000.00,172000000.00,202000000.00,206000000.00,174000000.00,239000000.00,331000000.00,383000000.00,433000000.00,431000000.00,458000000.00,473000000.00,419000000.00
Hungary,HUN,"International tourism, expenditures (current US$)",1501000000.00,1491000000.00,1511000000.00,1496000000.00,1590000000.00,1722000000.00,1887000000.00,2211000000.00,2700000000.00,2482000000.00,2721000000.00,2319000000.00,3088000000.00,3857000000.00,3251000000.00,2897000000.00,3048000000.00,2539000000.00,2522000000.00
Indonesia,IDN,"International tourism, expenditures (current US$)",2172000000.00,2399000000.00,2411000000.00,2102000000.00,2353000000.00,3197000000.00,3406000000.00,5042000000.00,4427000000.00,4569000000.00,4740000000.00,5458000000.00,6578000000.00,8801000000.00,6908000000.00,8432000000.00,8653000000.00,9055000000.00,10280000000.00
India,IND,"International tourism, expenditures (current US$)",996000000.00,913000000.00,1342000000.00,1713000000.00,2010000000.00,3686000000.00,4367000000.00,4350000000.00,4385000000.00,5783000000.00,8277000000.00,8738000000.00,10690000000.00,12083000000.00,9310000000.00,10490000000.00,13699000000.00,14107000000.00,13840000000.00
Ireland,IRL,"International tourism, expenditures (current US$)",2034000000.00,2198000000.00,2210000000.00,3015000000.00,2712000000.00,2626000000.00,2956000000.00,3835000000.00,4832000000.00,5291000000.00,6186000000.00,6978000000.00,8785000000.00,10539000000.00,7934000000.00,7178000000.00,6837000000.00,6001000000.00,6222000000.00
"Iran, Islamic Rep.",IRN,"International tourism, expenditures (current US$)",247000000.00,274000000.00,396000000.00,155000000.00,638000000.00,671000000.00,714000000.00,3990000000.00,4120000000.00,4402000000.00,4112000000.00,5066000000.00,7335000000.00,8270000000.00,8503000000.00,10570000000.00,10881000000.00,7517000000.00,
Iraq,IRQ,"International tourism, expenditures (current US$)",117000000.00,70000000.00,131000000.00,14000000.00,14000000.00,9000000.00,31000000.00,26000000.00,,,627000000.00,526000000.00,705000000.00,813000000.00,1221000000.00,1675000000.00,1879000000.00,2363000000.00,
Iceland,ISL,"International tourism, expenditures (current US$)",282000000.00,312000000.00,327000000.00,399000000.00,440000000.00,471000000.00,372000000.00,373000000.00,524000000.00,699000000.00,991000000.00,1084000000.00,1336000000.00,1103000000.00,534000000.00,599000000.00,740000000.00,780000000.00,850000000.00
Israel,ISR,"International tourism, expenditures (current US$)",2626000000.00,2849000000.00,2952000000.00,3233000000.00,3411000000.00,3733000000.00,3887000000.00,3322000000.00,3341000000.00,3663000000.00,3780000000.00,4085000000.00,4669000000.00,4693000000.00,4241000000.00,4725000000.00,4937000000.00,4851000000.00,5176000000.00
Italy,ITA,"International tourism, expenditures (current US$)",17219000000.00,18619000000.00,19666000000.00,20521000000.00,19590000000.00,18169000000.00,16997000000.00,19636000000.00,23731000000.00,24064000000.00,26774000000.00,27437000000.00,32754000000.00,37807000000.00,34399000000.00,33053000000.00,35724000000.00,32798000000.00,33504000000.00
Jamaica,JAM,"International tourism, expenditures (current US$)",173000000.00,181000000.00,205000000.00,223000000.00,256000000.00,238000000.00,227000000.00,274000000.00,269000000.00,318000000.00,290000000.00,315000000.00,340000000.00,312000000.00,259000000.00,235000000.00,213000000.00,165000000.00,380000000.00
Jordan,JOR,"International tourism, expenditures (current US$)",719000000.00,630000000.00,635000000.00,642000000.00,536000000.00,387000000.00,420000000.00,504000000.00,503000000.00,585000000.00,653000000.00,956000000.00,1024000000.00,1140000000.00,1202000000.00,1736000000.00,1280000000.00,1257000000.00,1192000000.00
Japan,JPN,"International tourism, expenditures (current US$)",46966000000.00,46800000000.00,41381000000.00,35334000000.00,41213000000.00,42643000000.00,35526000000.00,34977000000.00,36505000000.00,48175000000.00,48102000000.00,37659000000.00,37261000000.00,38976000000.00,34788000000.00,39306000000.00,39760000000.00,40967000000.00,32244000000.00
Kazakhstan,KAZ,"International tourism, expenditures (current US$)",296000000.00,364000000.00,494000000.00,549000000.00,455000000.00,483000000.00,761000000.00,863000000.00,783000000.00,997000000.00,940000000.00,1060000000.00,1396000000.00,1361000000.00,1319000000.00,1489000000.00,1831000000.00,2022000000.00,2033000000.00
