CountryName,CountryCode,IndicatorName,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Czech Republic,CZE,"International tourism, expenditures (current US$)",1635000000,2960000000,2355000000,1908000000,1493000000,1276000000,1386000000,1797000000,2177000000,2682000000,2603000000,2874000000,3704000000,5029000000,4336000000,4354000000,4876000000,4556000000,4698000000,5172000000
Germany,DEU,"International tourism, expenditures (current US$)",66527000000,64726000000,59000000000,60253000000,61218000000,57601000000,56529000000,59496000000,73203000000,80624000000,84537000000,85679000000,96188000000,1.06E+11,92826000000,90883000000,99840000000,96235000000,1.05E+11,1.07E+11
Djibouti,DJI,"International tourism, expenditures (current US$)",16300000,17300000,17100000,15900000,11600000,14800000,12900000,7700000,9900000,14000000,14400000,15000000,14200000,15500000,17500000,20500000,33500000,29600000,30900000,
Dominica,DMA,"International tourism, expenditures (current US$)",6000000,7000000,7000000,8000000,9000000,9000000,9000000,9000000,9000000,9000000,10000000,10000000,11000000,11000000,13000000,13000000,12000000,12000000,13000000,
Denmark,DNK,"International tourism, expenditures (current US$)",4288000000,4140000000,4194000000,4577000000,4899000000,4669000000,4861000000,5838000000,6659000000,7279000000,6850000000,7486000000,8830000000,9698000000,8968000000,9082000000,9840000000,9600000000,10072000000,10172000000
Dominican Republic,DOM,"International tourism, expenditures (current US$)",267000000,313000000,339000000,380000000,391000000,440000000,425000000,429000000,408000000,448000000,511000000,495000000,531000000,532000000,523000000,662000000,689000000,690000000,712000000,761000000
Algeria,DZA,"International tourism, expenditures (current US$)",186000000,188000000,144000000,269000000,251000000,193000000,194000000,248000000,255000000,341000000,660000000,414000000,502000000,613000000,574000000,716000000,595000000,598000000,532000000,685000000
Ecuador,ECU,"International tourism, expenditures (current US$)",331000000,313000000,331000000,325000000,385000000,416000000,465000000,507000000,500000000,577000000,644000000,706000000,733000000,790000000,806000000,863000000,917000000,944000000,987000000,1021000000
"Egypt, Arab Rep.",EGY,"International tourism, expenditures (current US$)",1371000000,1382000000,1431000000,1271000000,1218000000,1206000000,1248000000,1309000000,1465000000,1543000000,1932000000,2156000000,2886000000,3390000000,2941000000,2696000000,2575000000,3037000000,3261000000,3486000000
Spain,ESP,"International tourism, expenditures (current US$)",5826000000,6332000000,6163000000,7119000000,7803000000,7710000000,8466000000,9366000000,11330000000,14864000000,15175000000,16824000000,19870000000,20540000000,17133000000,16930000000,17375000000,15401000000,16434000000,17969000000
Estonia,EST,"International tourism, expenditures (current US$)",121000000,141000000,162000000,197000000,255000000,253000000,253000000,305000000,404000000,486000000,530000000,706000000,804000000,939000000,605000000,633000000,806000000,796000000,1233000000,1329000000
